execution_number,timestamp,duration_ms,error,correctness_error,correctness_match,dfc_error,dfc_exec_time_ms,dfc_rewrite_time_ms,dfc_rows,dfc_time_ms,logical_error,logical_exec_time_ms,logical_rewrite_time_ms,logical_rows,logical_time_ms,no_policy_error,no_policy_exec_time_ms,no_policy_rows,no_policy_time_ms,physical_error,physical_rows,physical_time_ms,policy_count,query_type,run_index,run_num,variation_index,variation_join_matches,variation_num,variation_num_groups,variation_policy_threshold,variation_rows_to_remove,variation_type
1,2026-02-03T13:03:22.558720,2974.0347932092845,,,True,,246.89695797860622,1661.9915422052145,999001,1908.8885001838207,,254.358374979347,612.2492090798914,999001,866.6075840592384,,198.53870896622539,1000000,198.53870896622539,skipped_for_multi_policy,0,0.0,1000,SELECT,0,1,0,,1,,1,100,policy_threshold
2,2026-02-03T13:03:27.373453,2974.4914579205215,,,True,,248.89662489295006,1656.6679161041975,999001,1905.5645409971476,,256.7628750111908,609.2344168573618,999001,865.9972918685526,,202.92962505482137,999950,202.92962505482137,skipped_for_multi_policy,0,0.0,1000,WHERE,0,1,0,,1,,1,100,policy_threshold
3,2026-02-03T13:03:38.794365,2237.2290417551994,,,True,,9.036208037286997,1606.9831249769777,1,1616.0193330142647,,9.17995790950954,611.094833817333,1,620.2747917268425,,0.934917014092207,1000,0.934917014092207,skipped_for_multi_policy,0,0.0,1000,JOIN,0,1,0,1000,1,,,,join_matches
4,2026-02-03T13:04:17.783549,3352.0821251440793,,,True,,16.544332960620522,2589.900250080973,10,2606.4445830415934,,23.742750054225326,718.6699581798166,10,742.4127082340419,,3.224833868443966,10,3.224833868443966,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,0,1,0,,1,10,,,num_groups
5,2026-02-03T13:04:31.324164,3223.123166244477,,,True,,239.7037500049919,1839.7045000456274,999001,2079.4082500506192,,283.98466599173844,627.7990001253784,999001,911.7836661171168,,231.93125007674098,1000000,231.93125007674098,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,0,1,0,,1,,1,100,policy_threshold
6,2026-02-03T13:04:36.309511,3121.271915268153,,,True,,230.2597500383854,1768.4224999975413,999001,1998.6822500359267,,268.3382909744978,639.180458150804,999001,907.5187491253018,,215.07091610692441,1000000,215.07091610692441,skipped_for_multi_policy,0,0.0,1000,SELECT,1,2,0,,1,,1,100,policy_threshold
7,2026-02-03T13:04:41.287608,3119.169624755159,,,True,,227.9725419357419,1764.329707948491,999001,1992.3022498842329,,276.5446249395609,635.693582938984,999001,912.2382078785449,,214.62916699238122,999950,214.62916699238122,skipped_for_multi_policy,0,0.0,1000,WHERE,1,2,0,,1,,1,100,policy_threshold
8,2026-02-03T13:04:51.973824,2178.678289987147,,,True,,8.938249899074435,1576.4215409290045,1,1585.359790828079,,8.759082993492484,583.2807910628617,1,592.0398740563542,,1.278625102713704,1000,1.278625102713704,skipped_for_multi_policy,0,0.0,1000,JOIN,1,2,0,1000,1,,,,join_matches
9,2026-02-03T13:05:31.168897,3324.7942097950727,,,True,,17.66287488862872,2562.9012919962406,10,2580.5641668848693,,24.62345897220075,715.8748749643564,10,740.4983339365572,,3.731708973646164,10,3.731708973646164,skipped_for_multi_policy,0,0.0,1000,GROUP_BY,1,2,0,,1,10,,,num_groups
10,2026-02-03T13:05:44.743779,3233.616374898702,,,True,,263.92133301123977,1828.2765408512205,999001,2092.1978738624603,,284.40933395177126,629.4055001344532,999001,913.8148340862244,,227.6036669500172,1000000,227.6036669500172,skipped_for_multi_policy,0,0.0,1000,ORDER_BY,1,2,0,,1,,1,100,policy_threshold
11,2026-02-03T13:05:49.723582,3116.2295010872185,,,True,,229.14800001308322,1752.9711248353124,999001,1982.1191248483956,,274.2104581557214,644.9957089498639,999001,919.2061671055853,,214.9042091332376,1000000,214.9042091332376,skipped_for_multi_policy,0,0.0,1000,SELECT,2,3,0,,1,,1,100,policy_threshold
